id,batch,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
D2-27,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,68,Sand fractions with bedload/advection-diffusion through `eqtran` (`erosed.f90:1125-1234`).,erosed.f90:1125-1234,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/erosed.f90,1125-1234,1160-1269,110,"[{""tag"": ""replace"", ""old"": ""1132-1132"", ""new"": ""1167-1167"", ""old_text"": [""          if (di50 < 0.0_fp) then""], ""new_text"": [""          if (spatial_d50) then""]}]"
D2-28,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,70,Van Rijn paths (`eqtran.f90:304-420`):,eqtran.f90:304-420,src/utils_gpl/morphology/packages/morphology_kernel/src/eqtran.f90,304-420,REANCHOR(304-420),117,"[{""tag"": ""replace"", ""old"": ""215-833"", ""new"": ""236-860"", ""old_text"": [""    ierror_ptr = 0"", ""    error      = .false."", ""    !"", ""    timhr     = real(realpar(RP_TIME) ,fp)/3600.0_fp"", ""    utot      = real(realpar(RP_EFVLM),fp)""], ""new_text"": [""   ierror_ptr = 0"", ""   error = .false."", ""   !"", ""   timhr = real(realpar(RP_TIME), fp) / 3600.0_fp"", ""   utot = real(realpar(RP_EFVLM), fp)""]}]"
D2-29,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,90,"**Cohesive**: `erosilt` returns `sourse, sinktot`; `erosed` stores in `sourse(nm,l), sinkse(nm,l)` (`erosed.f90:1074-1102`).",erosed.f90:1074-1102,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/erosed.f90,1074-1102,1103-1137,29,"[{""tag"": ""replace"", ""old"": ""1080-1080"", ""new"": ""1109-1109"", ""old_text"": [""                        & fracf       ,maxslope    ,wetslope    , &""], ""new_text"": [""                        & fracf       ,tcrero_bed(nm), eropar_bed(nm), maxslope    ,wetslope    , &""]}, {""tag"": ""insert"", ""old"": ""1083-1083"", ""new"": ""1112-1117"", ""old_text"": [""             !""], ""new_text"": [""             if (gdp%gdmorpar%moroutput%sedpar) then"", ""                 do i = 1,gdp%gdtrapar%noutpar(l)"", ""                     j = gdp%gdtrapar%ioutpar(i,l)"", ""                     gdp%gdtrapar%outpar(j, nm) = localpar(i)"", ""                 enddo""]}]"
D2-30,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,100,`erosed` gets bed fractions from bed-composition module: top-layer fractions + mud fraction via `getfrac` (`erosed.f90:629-635`).,erosed.f90:629-635,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/erosed.f90,629-635,REANCHOR(629-635),7,"[{""tag"": ""replace"", ""old"": ""632-635"", ""new"": ""655-658"", ""old_text"": [""    if (lsedtot > 1) then"", ""       call getfrac(gdp%gdmorlyr,frac      ,anymud    ,mudcnt    , &"", ""                  & mudfrac     ,gdp%d%nmlb,gdp%d%nmub)"", ""    endif""], ""new_text"": [""    call getfrac(gdp%gdmorlyr,frac      ,anymud    ,mudcnt    , &"", ""               & mudfrac     ,gdp%d%nmlb,gdp%d%nmub)"", ""    call getbedprop(gdp%gdmorlyr, gdp%d%nmlb, gdp%d%nmub, &"", ""               & poros, tcrero_bed, eropar_bed)""]}]"
D2-31,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,127,- Bed changes per fraction (`bott3d.f90:724-840`).,bott3d.f90:724-840,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/bott3d.f90,724-840,733-851,117,"[{""tag"": ""insert"", ""old"": ""784-784"", ""new"": ""793-794"", ""old_text"": [""                   endif""], ""new_text"": [""                      depflxf(l, nm) = sinkf(l, nm)*r1(nm, k, ll)*thick1"", ""                      eroflxf(l, nm) = sourf(l, nm)              *thick0""]}]"
D2-32,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,136,"- Mud: `tcrero, tcrdep, eropar, powern` (`erosilt.f90:160-203`).",erosilt.f90:160-203,src/utils_gpl/morphology/packages/morphology_kernel/src/erosilt.f90,160-203,REANCHOR(160-203),44,"[{""tag"": ""replace"", ""old"": ""160-161"", ""new"": ""170-171"", ""old_text"": [""       if (iform == -3) then"", ""          eropar = par(11)""], ""new_text"": [""       if (iform == -3 .or. iform == -5) then"", ""          eropar = eropar_bed * par(11)""]}, {""tag"": ""replace"", ""old"": ""163-163"", ""new"": ""173-173"", ""old_text"": [""          tcrero = par(13)""], ""new_text"": [""          tcrero = tcrero_bed * par(13)""]}, {""tag"": ""replace"", ""old"": ""170-170"", ""new"": ""180-180"", ""old_text"": [""          ! Default Partheniades-Krone formula""], ""new_text"": [""          ! Partheniades-Krone formula""]}]"
D2-33,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,147,"Calibration multipliers `bed, bedw, susw, sus` scale transport/concentration after formula evaluation (`eqtran.f90:722-743`).",eqtran.f90:722-743,src/utils_gpl/morphology/packages/morphology_kernel/src/eqtran.f90,722-743,REANCHOR(722-743),22,"[{""tag"": ""replace"", ""old"": ""215-833"", ""new"": ""236-860"", ""old_text"": [""    ierror_ptr = 0"", ""    error      = .false."", ""    !"", ""    timhr     = real(realpar(RP_TIME) ,fp)/3600.0_fp"", ""    utot      = real(realpar(RP_EFVLM),fp)""], ""new_text"": [""   ierror_ptr = 0"", ""   error = .false."", ""   !"", ""   timhr = real(realpar(RP_TIME), fp) / 3600.0_fp"", ""   utot = real(realpar(RP_EFVLM), fp)""]}]"
D2-34,D,models/Delft3D/source-analysis/delft3d_flow2d3d_io.md,207,"4. **출력 포맷**: 런타임 `getfiletype` 으로 NEFIS(`.dat`/`.def`) 또는 NetCDF(CF-1.6 `.nc`) 선택, 모든 writer 가 REQUESTTYPE_DEFINE→WRITE 2-pass + `wrtarray` generic 추상화로 두 백엔드 동시 지원(`output/wrh_main.f90:329-534`, `output/wrtarray.f90:132-152`).",output/wrh_main.f90:329-534,src/engines_gpl/flow2d3d/packages/flow2d3d_io/src/output/wrh_main.f90,329-534,327-532,206,"[{""tag"": ""replace"", ""old"": ""419-419"", ""new"": ""417-417"", ""old_text"": [""                    & lsedtot   ,zmodel    ,ch(namcon),namsed    ,r(xz)     , &""], ""new_text"": [""                    & lsedtot   ,zmodel    ,ch(namcon),r(xz)     , &""]}]"
D2-35,D,models/Delft3D/source-analysis/delft3d_waq_kernel_integration.md,81,"이 루틴이 explicit 스킴들의 **시간루프 골격 표준형**이다. `ACTION` 인수로 4 모드 분기 (`m_actions`): INITIALISATION / SINGLESTEP / FINALISATION / FULLCOMPUTATION (`:97-163`). 한 시간스텝의 호출 순서 (`integration_scheme_1.f90:167-363`, label `10`~`goto 10` 루프):",integration_scheme_1.f90:167-363,src/engines_gpl/waq/waq_kernel/kernel/integration/integration_scheme_1.f90,167-363,167-363,197,"[{""tag"": ""replace"", ""old"": ""290-290"", ""new"": ""290-290"", ""old_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), num_cells, a(ivoll:), &""], ""new_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), a(ivoll:), &""]}, {""tag"": ""replace"", ""old"": ""302-302"", ""new"": ""302-302"", ""old_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), num_cells, a(ivol2:), &""], ""new_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), a(ivol2:), &""]}]"
D2-36,D,models/Delft3D/source-analysis/delft3d_waq_kernel_integration.md,250,"↓ (스킴 1 예시, 시간루프 integration_scheme_1.f90:167-363)",integration_scheme_1.f90:167-363,src/engines_gpl/waq/waq_kernel/kernel/integration/integration_scheme_1.f90,167-363,167-363,197,"[{""tag"": ""replace"", ""old"": ""290-290"", ""new"": ""290-290"", ""old_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), num_cells, a(ivoll:), &""], ""new_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), a(ivoll:), &""]}, {""tag"": ""replace"", ""old"": ""302-302"", ""new"": ""302-302"", ""old_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), num_cells, a(ivol2:), &""], ""new_text"": [""                        j(inrha:), j(inrh2:), j(inrft:), a(ivol2:), &""]}]"
D2-37,D,models/Delft3D/source-analysis/delft3d_wave_swan_module.md,48,| WAVE map(.wavm)·NetCDF 기록 | `write_wave_map`/`write_wave_map_netcdf` | swan_tot.f90:433-444 |,swan_tot.f90:433-444,src/engines_gpl/wave/packages/manager/src/swan_tot.f90,433-444,433-444,12,"[{""tag"": ""replace"", ""old"": ""440-440"", ""new"": ""440-440"", ""old_text"": [""               write (*, '(a,i10,a,f10.3)') '  Write WAVE NetCDF map file, nest ', i_swan, ' time ', wavedata%time%timmin""], ""new_text"": [""               write (*, '(a,i10,a,f15.3)') '  Write WAVE NetCDF map file, nest ', i_swan, ' time ', wavedata%time%timmin""]}]"
D2-38,D,models/Delft3D/source-analysis/delft3d_wave_swan_module.md,86,"| `BOUN NEST / BOUN WWIII / BOUN SHAPE` | 경계조건 (nest·WW3·파라메트릭) | swan_input.f90:3223, 3233, 3248 |","swan_input.f90:3223, 3233, 3248",src/engines_gpl/wave/packages/data/src/swan_input.f90,3223-3223;3233-3233;3248-3248,3460-3460;REANCHOR(3233-3233);3477-3477,3,"[{""tag"": ""replace"", ""old"": ""3233-3238"", ""new"": ""3466-3467"", ""old_text"": [""               line(1:11) = 'BOUN WWIII '"", ""               line(12:12) = ''''''"", ""               ind = index(sr%specfile, ' ') - 1"", ""               line(13:13 + ind) = sr%specfile"", ""               line(13 + ind:13 + ind) = ''''''""], ""new_text"": [""               line(1:9) = 'BOUN WW3 '       ! manual p54"", ""               line = trim(line)//' '''//trim(sr%specfile)//''''//' FREE OPEN'""]}]"
D2-39,D,models/Delft3D/source-analysis/delft3d_wave_swan_module.md,169,"`packages/io/src/read_swan_output.f90` 의 `hisout` 가 SWAN TABLE 출력(`COMPGRID`)을 파싱해 `swan_output_fields` 구조(hs, dir, period, fx, fy, mx, my, dissip(:,:,1..4), ubot, wlen, setup, tps, tm02, tmm10, …, read_swan_output.f90:35-42, swan_flow_grid_maps.f90:110-152)를 ",swan_tot.f90:372-404,src/engines_gpl/wave/packages/manager/src/swan_tot.f90,372-404,372-404,33,"[{""tag"": ""replace"", ""old"": ""393-393"", ""new"": ""393-393"", ""old_text"": [""                  write (*, '(a,i10,a,f10.3)') '  Write WAVE NetCDF map file, nest ', i_swan, ' time ', wavedata%time%timmin""], ""new_text"": [""                  write (*, '(a,i10,a,f15.3)') '  Write WAVE NetCDF map file, nest ', i_swan, ' time ', wavedata%time%timmin""]}]"
D2-40,Z,models/Delft3D/source-analysis/delft3d_heat.md,21,- `main/z_trisol.f90:1159-1604` — dispatch.,main/z_trisol.f90:1159-1604,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/main/z_trisol.f90,1159-1604,1159-1604,446,"[{""tag"": ""replace"", ""old"": ""1205-1205"", ""new"": ""1205-1205"", ""old_text"": [""                  & r(sumrho) ,r(rhowat) ,rhosol    ,ifirst_dens,gdp       )""], ""new_text"": [""                  & r(sumrho) ,r(rhowat) ,ifirst_dens,gdp       )""]}]"
D2-41,Z,models/Delft3D/source-analysis/delft3d_sediment_transport_formulae.md,28,| **−3** | Default **Partheniades-Krone** (`erosilt.f90:160`) |,erosilt.f90:160,src/utils_gpl/morphology/packages/morphology_kernel/src/erosilt.f90,160-160,REANCHOR(160-160),1,"[{""tag"": ""replace"", ""old"": ""160-161"", ""new"": ""170-171"", ""old_text"": [""       if (iform == -3) then"", ""          eropar = par(11)""], ""new_text"": [""       if (iform == -3 .or. iform == -5) then"", ""          eropar = eropar_bed * par(11)""]}]"
